# GENERATED by backend/scripts/reconcile_twda.py — do not hand-edit.
# Human decisions belong in backend/src/data/twda_rulings.tsv, which
# is an input to this file.
#
# twda_id<TAB>action[<TAB>target]
#   attach:<tournament_uid>  we already hold this event
#   create<TAB><user_uid>    reconstruct it, won by that member
#   create                   reconstruct nothing: winner unresolved
#   review<TAB><uids>        UNDECIDED, with the candidates
#
# The consumer creates only `create` lines carrying a winner. Every
# other shape is logged and skipped, never guessed at.
0bbf344e-f63e-41bf-9b74-0fc82e91ae61	attach:0bbf344e-f63e-41bf-9b74-0fc82e91ae61
10008	attach:019f1a19-b124-70df-a4f4-9d0040dfc577
10009	attach:019f1a19-b139-7036-b084-b1d17e34fb23
10012	attach:019f1a19-b1a5-77fb-aee7-a61d6dbfe332
10021	attach:019f1a19-b232-73da-878d-a2a9609ca6c0
10022	attach:019f1a19-b23a-7145-86b2-80a5cc999844
10032	attach:019f1a19-b305-777d-84b9-785570a4aa2c
10034	attach:019f1a19-b313-7286-9b22-488b2f0ae182
10043	attach:019f1a19-b3d4-72b8-a91e-220b5072e3d8
10044	attach:019f1a19-b3dc-727a-b53d-01effcc2e75e
10045	attach:019f1a19-b403-70b2-9f96-f4804426ae2b
10046	attach:019f1a19-b40c-7500-8e20-addb0704ceba
10047	attach:019f1a19-b412-7241-90ca-f176c81cabc1
10048	attach:019f1a19-b418-769d-a38c-9ae335b75ebb
10049	attach:019f1a19-b41e-75ec-a1bc-7cf8ab62a36a
10051	attach:019f1a19-b4be-77c1-b336-bab9e518ae7e
10056	attach:019f1a19-b4fc-76a3-ae54-55efdc5bd9f8
10057	attach:019f1a19-b4ff-70e0-bbcd-73446aeb105f
10064	attach:019f1a19-b56d-73bb-8f46-45be48b95c05
10065	attach:019f1a19-b58f-732a-b25d-c581cac62916
10068	attach:019f1a19-b5a2-7763-86ae-0209ee03a20f
10071	attach:019f1a19-b620-7293-8d99-a9ca4f980308
10073	attach:019f1a19-b630-733e-a5cc-14e64a8ec6f4
10077	attach:019f1a19-b639-74fd-bf80-d830c1053edf
10080	attach:019f1a19-b65f-71eb-8db7-4d0e9c6547c2
10081	attach:019f1a19-b6d4-7764-b22a-187bf6dcaf6c
10087	attach:019f1a19-b6ec-707b-ad7e-e51ad0c37ef2
10090	attach:019f1a19-b70d-70fc-be95-48ba534dbddc
10096	attach:019f1a19-b7cc-750a-a621-3ff7b49ecddd
10098	attach:019f1a19-b7d9-741f-8ffa-fb939c116f97
10105	attach:019f1a19-b878-70e1-a830-8b43f765f946
10108	attach:019f1a19-b88b-7734-8a61-cd9925d0f314
10109	attach:019f1a19-b891-7636-a360-fea4acc0fd1a
10110	attach:019f1a19-b89c-70ac-b119-04f6a5a9bef9
10111	attach:019f1a19-b8f7-7360-879a-0ef14b10d680
10112	attach:019f1a19-b8fe-76f4-b87a-a9fbce852f68
10113	attach:019f1a19-b91b-7720-a88c-130763ef1f9e
10114	attach:019f1a19-b923-737d-8538-9f63b8cef10c
10115	attach:019f1a19-b929-769c-b7f6-2b2c55d50cc2
10122	attach:019f1a19-b9f2-715b-a1aa-6f7d3000b6b5
10124	attach:019f1a19-ba21-75e9-a61f-fb16951f8706
10126	attach:019f1a19-ba4b-7144-a7a0-f9cb697e1df7
10127	attach:019f1a19-ba6d-7321-86dc-2f0743fae902
10129	attach:019f1a19-ba7c-719d-9bbd-fc4953000f12
10131	attach:019f1a19-bae6-74ce-996f-12127ab51686
10137	attach:019f1a19-bb03-756a-bd91-c90f5447fbc5
10139	attach:019f1a19-bb2b-76bd-874f-479d4e206e84
10140	attach:019f1a19-bb33-701d-b931-ac29642a0665
10142	attach:019f1a19-bbb9-711b-b617-5b11fee9bcc1
10143	attach:019f1a19-bbc0-7705-b1bd-ec4038546fec
10144	create	019f19ff-983b-70cd-a981-10b720710c82
10150	attach:019f1a19-bbe1-7338-bbf0-331670007b09
10152	attach:019f1a19-bc8a-74c0-b732-eb5d97d66c2e
10158	attach:019f1a19-bcf3-7311-9988-48f4fe1f5184
10161	attach:019f1a19-bd5e-73c9-b3ed-89bc63df687e
10162	attach:019f1a19-bd6c-700e-ac14-92cc5b8aeb31
10167	attach:019f1a19-bdc6-779f-b5f9-77a66cf1eb58
10169	attach:019f1a19-bdd1-73ea-bc31-f160280b059b
10170	attach:019f1a19-bdf4-7026-9788-f9d4fac94d8b
10175	attach:019f1a19-be6f-731f-849d-6ba851dd64d6
10179	attach:019f1a19-bea0-75a6-b550-131f16a07c1d
10182	attach:019f1a19-bf32-7417-bcf9-6ff77fd48c02
10184	attach:019f1a19-bf56-7730-9fca-44ea7e0937be
10185	attach:019f1a19-bf79-7775-bcd3-405a9ac2fd29
10186	attach:019f1a19-bf81-73ab-be19-6ea71fc57fdf
10188	attach:019f1a19-bf85-70cc-9330-cfa4c4c49d86
10189	attach:019f1a19-bfa8-75a9-9e5e-df5107d9c270
10190	attach:019f1a19-bfb3-72f5-b6cb-d7d2c5bee50d
10193	attach:019f1a19-c07d-743c-9f24-bfbb3e5e10bc
10194	attach:019f1a19-c082-749b-9d0e-ff01213a6d89
10200	attach:019f1a19-c099-70e2-a525-753b352f5274
10201	attach:019f1a19-c12a-74c6-9bfc-42d17c0ef240
10209	attach:019f1a19-c153-72a0-ad1e-d655e715c462
10211	attach:019f1a19-c1fd-740d-bdf6-f3dc2aaebe1e
10213	attach:019f1a19-c20e-7268-83c3-e04112305b4c
10214	attach:019f1a19-c225-77f4-adf2-c2b4a0d09eaf
10215	attach:019f1a19-c22a-73b4-824f-f0b3ca15984c
10216	attach:019f1a19-c22e-718a-b7c7-00e5f71b29e8
10219	attach:019f1a19-c23a-74e9-abd7-051cff4228ee
10230	attach:019f1a19-c402-7412-8574-1657cc826ea8
10232	attach:019f1a19-c46f-77d9-ac2d-c0e39c034d4b
10233	attach:019f1a19-c477-75d0-a73f-78cd912c55db
10234	attach:019f1a19-c485-7270-8582-087d8f119bd2
10235	attach:019f1a19-c492-74c0-bc57-6ddb5037f5c4
10236	attach:019f1a19-c498-70d0-9c25-95fd35005457
10238	attach:019f1a19-c4a4-75a9-ba00-109c309c69d9
